1686 1      1686    7    4  2550   4225    825    500    373  10   4
2880 2      2880    0    0  1250    300      0   2160    347   5   0
4575 3      4575    0    0  1400    425      0   2064    613   1   0
6287 4      6287    0    0  1400   1050      0   3821    569  16   1
7477 5      7477    0    0   750    250      0    796    605   0   0
8599 6      8599    0    0   950     50      0   1930    504   0   0
9045 7      9045   14    0   900    850    725     52    146   1   0
10747 8     10747   11    0  2250    525      0   3542    422  43  12
11954 9     11954    0    0  1100    800      0    846    458   7   0
13183 10     13183    0    0  1000      0      0   3110    538   3   2
14886 11     14886    0    0   700   1450      0   1504    904   0   0
15547 12     15547   23    0  1200   1400    900    527    135  13   3
17247 13     17247    0    0  1800    850      0   3594    927   8   2
18384 14     18384    0    0   800    550      0    334    557   1   0
19579 15     19579    0    0   650    250      0    531    644   0   0
20731 16     20731    0    0   800    550      0    144    563   0   0
21924 17     21924   12    0   600      0      0      2    656   0   0
22533 18     22533   15    0   800   1000    825    814    265   3   0
24237 19     24237    0    0  1750   1100      0   1145    547  14   4
25928 20     25928    0    0   850    375      0   2533    853   2   0
27031 21     27031    0    0   800    350      0   1709    535   3   0
27419 22     27419   15    0   800   1000    725      0    113   4   0
29138 23     29138    0    0  1500    450      0   2029    579   5   0
30227 24     30227    0    0   850    550      0    328    485   5   0
31170 25     31170    8    0   900    750    975    586    412   0   0
32354 26     32354    0    0   650     50      0   2270    637   0   0
33055 27     33055   13    0   700   1300   1050    445    351   0   0
34181 28     34181    0    0   750    150      0    851    569   6   0
35086 29     35086    4    0   850    750    725     88    403   0   0
36186 30     36186    0    0   650    200      0   1343    584   0   0
37320 31     37320    0    0   800    200      0    922    560   0   0
38527 32     38527    0    0   800    150      0   1160    588  30   0
39854 33     39854    0    0   850    275      0   1522    647   0   0
41557 34     41557    0    0  1000    250      0   2371    753   0   0
42733 35     42733    0    0   750    350      0    274    595   0   0
43859 36     43859   32    3  2000   1600   1400   1633    426  13   6
44995 37     44995    0    0   750    500      0      0    575  15   6
46100 38     46100    0    0   650    200      0    701    586   0   0
47323 39     47323    0    0   650    650      0     63    654   0   0
48451 40     48451    0    0   900    200      0   1411    518   0   0
48924 41     48924   17    0   900    950    825     13    144  15   0
50650 42     50650    0    0   850    550      0   1345   1394   4   4
51837 43     51837    0    0   900    150      0    238    546   3   0
53036 44     53036    0    0   650    250      0     19    642   0   0
54145 45     54145   12    0   600      0      0      3    605   0   0
55330 46     55330   12    0   600      0      0      8    648   0   0
55961 47     55961   11    0   750    900   1050    722    297   0   0
56439 48     56439   15    0   750   1050    900    419      5   0   0
57600 49     57600    0    0   800    200      0   1345    568   0   0
58120 50     58120   12    0   650    950    900      2    276   0   0
59374 51     59374    0    0   800    350      0    472    624   2   0
60526 52     60526    0    0   650    300      0    866    604   0   0
61763 53     61763    0    0   750    400      0    856    621   3   0
62858 54     62858    0    0   750    350      0    756    559   0   0
64007 55     64007    0    0   800    650      0    282    559   0   0
65208 56     65208    0    0   950    550      0    713    511   2   0
66557 57     66557    0    0  1100     50      0    990    854   3   1
67698 58     67698    0    0   800      0      0   1195    554   5   1
68185 59     68185   14    0   750    900    650    643    218   0   0
69274 60     69274    0    0   750    500      0    584    564   0   0
70471 61     70471    0    0   800    500      0    662    545   2   0
70953 62     70953   14    0   800   1000    825    219    193   0   0
71855 63     71855    9    0   800   1000    825   1105    429   0   0
72954 64     72954    0    0   600    400      0      5    598   7   0
73536 65     73536    8    0   700    850    725    170    282   0   0
75250 66     75250    0    0   650    300      0    123    921   0   0
76460 67     76460    0    0  1100    150      0   1391    397   1   0
77649 68     77649    0    0   650      0      0   1959    630   1   0
78240 69     78240    7    0   900    750    725     24    228   0   0
79479 70     79479    0    0   700    150      0    942    646   1   0
80643 71     80643    0    0  1150    650      0    652    476   0   0
81735 72     81735    0    0   650    200      0    833    595   0   0
82962 73     82962    0    0   650    550      0    157    647   0   0
83993 74     83993    0    0   700      0      0   1196    522   0   0
85123 75     85123    0    0   750    250      0   1084    570   0   0
86496 76     86496    0    0  1100    775      0    989    585   1   0
87512 77     87512    0    0   650    500      0     28    533   0   0
88617 78     88617    0    0   700    400      0    217    575   0   0
90196 79     90196    0    0  1350    700      0    701    545   2   0
91413 80     91413    0    0   750     50      0   1123    624   7   0
92652 81     92652    0    0   950     50      0   2350    747   5   1
93790 82     93790    0    0   650    150      0   1486    616   0   0
94960 83     94960    0    0   700    100      0    949    603   2   0
95492 84     95492   15    0   950    950    725    592    120   1   0
96657 85     96657    1    0   650    150      0   1416    614   3   0
98346 86     98346    0    0   950    750      0    897    776   7   0
99936 87     99936    0    0  1550    150      0   2632    984   7   4
101013 88    101013    0    0   650    300      0    365    572   0   0
102286 89    102286    0    0  1000    550      0   1643    565   1   0
104016 90    104016    0    0   850    200      0   2526    853   0   0
104568 91    104568   15    0   750   1200    900     69     22   0   0
105803 92    105803    0    0   800    350      0     89    600   2   0
106915 93    106915    0    0   700    450      0    200    588   0   0
108094 94    108094    0    0   800      0      0   1051    568   5   0
109458 95    109458    0    0  1100    350      0    286    495   4   0
110631 96    110631    0    0   950    150      0    995    518   7   0
111887 97    111887    0    0   900      0      0   1786    780   7   2
113604 98    113604    8    0  1850    250      0   3697    729  10   2
114747 99    114747   12    0   600      0      0      2    621  10   2
115810 100    115810    0    0   700    500      0    256    555   0   0
117038 101    117038    0    0   750     50      0   1432    613   0   0
117659 102    117659   15    0   850   1050    900    670    192   4   0
119002 103    119002    0    0  1350     50      0   1898    411   6   1
120119 104    120119    0    0   650    450      0    412    604   0   0
121260 105    121260    0    0   800    500      0    555    535   1   0
122360 106    122360   15    0   750      0      0     10      3   1   0
123481 107    123481   12    0   600      0      0      3    609   1   0
124124 108    124124    6    0   700    800    975     39    323   0   0
125765 109    125765    0    0  1250    150      0   4794   1226  13  14
127480 110    127480    0    0   650    400      0      0    921   0   0
128758 111    128758    0    0   650    800      0      0    680   0   0
