1231 1      1231    0    0   900    350      0    647    569   2   0
2416 2      2416    0    0   900    100      0    791    553   9   1
3957 3      3957    0    0  1350    800      0    991    527   1   0
5648 4      5648    0    0  1350    450      0   1632    653   8   0
6782 5      6782    0    0   800    375      0   1975    394   3   0
7381 6      7381   16    0  1050   1050   1050    277    114   2   0
8601 7      8601    0    0   750      0      0   2400    624   4   0
9887 8      9887    0    0  1100    375      0   2015    539   2   0
10901 9     10901    0    0   700    350      0   1072    531   0   0
12604 10     12604    0    0  1050    100      0   2567   1193   7   1
13694 11     13694    0    0  1000      0      0   2735    469   0   0
14237 12     14237   11    0   850    950    825    515    218   1   0
15474 13     15474    0    0  1050    150      0   1430    530   8   0
16689 14     16689    2    0   750    500      0     48    623  15   0
17110 15     17110    6    0   650    700    650      3    215   0   0
17801 16     17801   15    0   800   1050    875    717    156   2   0
19493 17     19493    0    0   650    100    400   1583    921   0   0
20609 18     20609    0    0   900      0      0   2886    420   0   0
21143 19     21143   15    0   800   1350    825    272     80   2   0
22366 20     22366    0    0   950      0      0   1395    471   2   0
22913 21     22913   15    0   850    900   1050    414     69   0   0
24041 22     24041    0    0   700    400      0    133    596   0   0
25224 23     25224    0    0   700    450      0    542    610   0   0
26295 24     26295    0    0   900    700      0     47    488   1   0
26930 25     26930   11    0   800   1000   1050    322    281   3   0
28627 26     28627    0    1  1950    850      0    516    844  12   1
29841 27     29841    0    0   750     50      0   1908    619   0   0
31027 28     31027    1    0   600      0      0   2069    655  12   0
32183 29     32183    0    0   850     50      0   2278    551   0   0
33901 30     33901    0    0  1050    400      0   1954    780   8   0
34725 31     34725    4    0   800    750    650     51    386   0   0
35861 32     35861    0    0   700    200      0    894    582   0   0
37039 33     37039   12    0   600      0      0      2    647   0   0
38748 34     38748    0    0  1100    325      0   2705    705   4   0
39506 35     39506   11    0   650   1150    900    440    395   4   0
40700 36     40700    0    0   750      0      0   2857    603   5   0
41942 37     41942    0    0   950    100      0   2267    543   7   0
43088 38     43088    0    0   800    250      0   1172    555   0   0
44796 39     44796    0    0  1200    300      0   2052    666   6   1
45924 40     45924    0    0   900    300      0   1331    487   1   0
47041 41     47041   12    0   600      0      0      2    614   1   0
48746 42     48746    0    1  1550    525      0   2502   1230   4   1
50140 43     50140    0    0  1150    600      0    970    819  11   1
51371 44     51371    0    0  1100    725      0   1134    353   8   0
52442 45     52442    0    0   900    350      0    811    489   0   0
54136 46     54136    8    3  2350    750      0   3555   1941  15  18
55450 47     55450    0    0   950   1000      0    492    603   0   0
56998 48     56998    0    0   700    200      0   1964    828   0   0
57441 49     57441   21    0  1050   1000    825    165     72   1   0
58640 50     58640    0    0   650    350      0    209    647   0   0
60350 51     60350    0    0  1050    400      0   1683    785   4   0
60730 52     60730   15    0   800    850    725     33    142   0   0
61913 53     61913    0    0   950    350      0   2305    486   4   0
63145 54     63145    0    0   950    225      0   1188    527   1   0
64855 55     64855    0    0  1050    425      0   2581    751   2   0
65169 56     65169   15    0   750    950    575      1    125   2   0
66870 57     66870    0    0   700    650      0     37    904   0   0
68572 58     68572    0    0  1100    500      0   1446   1181   4   1
69739 59     69739    0    0   900    350      0    513    538   3   0
70643 60     70643   14    0   800   1600   1550    348    424   3   0
72366 61     72366    0    0  1300    425      0   1332    684  11   0
73661 62     73661    0    0   850    425      0   1319    622   8   1
74917 63     74917    7    0   650   1100    825    932    673   8   1
76046 64     76046   12    0   600      0      0      7    614   8   1
77750 65     77750    0    0  1150    900    400   1280    679   8   0
79004 66     79004    0    0   900    375      0   1617    586   8   0
79618 67     79618    7    0   750   1000    725     30    292  11   0
80427 68     80427    3    0   750    700    725    139    390   0   0
82145 69     82145    0    0   900   1000    800    933    836   0   0
83368 70     83368    0    0   750    150      0    361    612   1   0
