1196 1      1196    0    0   700    350      0    141    633   0   0
2311 2      2311    0    0   800    300      0   1362    556   6   0
3447 3      3447    0    0   850    350      0    919    485   0   0
4630 4      4630    0    0  1150    150      0   2382    463   2   0
5820 5      5820    0    0   900    400      0    992    541   0   0
6992 6      6992    0    0   850    200      0   1479    567   0   0
8716 7      8716    6    0  2350   1150      0   1622    400  30  26
9316 8      9316   11    0   800    700    725    387    261  32  26
10419 9     10419    0    0   750    400      0    496    548   0   0
12104 10     12104    0    0  1200    400      0   2383    734   1   0
13787 11     13787    0    0  1100    300      0   2673    768   0   0
15497 12     15497    0    0  1900   1650      0   2727    863  10   7
16583 13     16583    0    0   750    650      0    727    546  10   7
17711 14     17711    0    0   900    350      0    939    517   0   0
18659 15     18659   19    1  1050   1200   1125    790    719   3   1
19253 16     19253   12    0   850   1000    900    800    242   0   0
20963 17     20963    0    0  1000    625      0   1897    802   0   0
22089 18     22089    0    0   800      0      0    600    551  15   3
23261 19     23261    0    0   750    100      0   1561    590   2   0
23734 20     23734   11    0   900    800    725      0    134   0   0
24134 21     24134   15    0   750    950    725    247    169   0   0
25282 22     25282    0    0   750    650      0    384    581   2   0
26425 23     26425    0    0  1250    100      0   2660    413   1   0
26983 24     26983    8    0   800    850    725    133    245   0   0
28080 25     28080    0    0   950    150      0    805    441   0   0
29157 26     29157    0    0   800    150      0   1129    527   0   0
30024 27     30024    2    0   750    850    575    263    432   0   0
31720 28     31720    0    0  1200    750      0   1862    734   0   0
33045 29     33045    0    0  1500    300      0    685    275  16   4
34158 30     34158    0    0   650    500      0     40    603  16   4
35869 31     35869    0    2  1200    450      0   2362   1360  19   5
37052 32     37052    0    0  1550    450      0    656    244   4   0
38204 33     38204    0    0   950     50      0    984    527   0   0
39353 34     39353    0    0  1500    300      0   1349    192   5   0
40456 35     40456   12    0   600      0      0      3    604   5   0
42169 36     42169    7    0  1050    750    400   1148    785  15   0
42679 37     42679   15    0   800   1000    825     98    193   4   0
43871 38     43871    0    0  1050      0      0   1461    498   3   0
44416 39     44416   15    0   850   1000    900    712    168   3   0
44923 40     44923   14    0   950    950    725    381    138   0   0
46602 41     46602    0    0  1150    400      0   2278    995   6   2
47146 42     47146    6    0   750    700    725      0    253   0   0
48223 43     48223   12    0   600      0      0      0    592   0   0
49354 44     49354    0    0   800      0      0   2884    568   1   0
50590 45     50590   12    0   600      0      0      0    673   1   0
51899 46     51899    0    0  1550    100      0   1277    687   4   2
52971 47     52971    0    0   950    550      0    154    468   1   0
54186 48     54186    0    0   700    550      0    338    637   0   0
55114 49     55114    4    0   700    700    725    232    490   0   0
55548 50     55548   10    0   650    900    725      0    231   0   0
57252 51     57252    0    0  1100    700      0   2223    693   2   0
58398 52     58398   15    0  1350    300      0      7     43   2   0
